"","year","committed_to","stars","state_province","county_name"
"1",2013,"Abilene Christian",3,"TX","Denton"
"2",2014,"Abilene Christian",3,"TX","Smith"
"3",2014,"Abilene Christian",3,"TX","Freestone"
"4",2014,"Abilene Christian",2,"TX","Bexar"
"5",2014,"Abilene Christian",2,"TX","Dallas"
"6",2014,"Abilene Christian",2,"TX","Randall"
"7",2015,"Abilene Christian",3,"TX","Harris"
"8",2015,"Abilene Christian",2,"TX","Dallas"
"9",2016,"Abilene Christian",3,"TX","Lubbock"
"10",2016,"Abilene Christian",2,"TX","Harris"
"11",2016,"Abilene Christian",2,"TX","McLennan"
"12",2016,"Abilene Christian",2,"TX","Collin"
"13",2016,"Abilene Christian",2,"TX","Galveston"
"14",2016,"Abilene Christian",2,"TX","Tarrant"
"15",2016,"Abilene Christian",2,"TX","Travis"
"16",2017,"Abilene Christian",2,"TX","Collin"
"17",2017,"Abilene Christian",2,"TX","Bell"
"18",2017,"Abilene Christian",2,"TX","Fort Bend"
"19",2002,"Air Force",2,"OR","Multnomah"
"20",2003,"Air Force",2,"WA","King"
"21",2004,"Air Force",2,"CA","Orange"
"22",2004,"Air Force",2,"GA","DeKalb"
"23",2004,"Air Force",2,"CA","Orange"
"24",2005,"Air Force",2,"IL","Cook"
"25",2005,"Air Force",2,"TX","Tarrant"
"26",2005,"Air Force",2,"WA","Pierce"
"27",2005,"Air Force",2,"TX","Tarrant"
"28",2005,"Air Force",2,"TX","Tarrant"
"29",2005,"Air Force",2,"TX","Tarrant"
"30",2005,"Air Force",2,"OR","Multnomah"
"31",2005,"Air Force",2,"IL","Cook"
"32",2005,"Air Force",2,"CA","Alameda"
"33",2005,"Air Force",2,"PA","Allegheny"
"34",2005,"Air Force",2,"TX","Collin"
"35",2005,"Air Force",1,"KY","Fayette"
"36",2006,"Air Force",3,"GA","Fayette"
"37",2006,"Air Force",2,"TX","Lamar"
"38",2006,"Air Force",2,"OH","Montgomery"
"39",2006,"Air Force",2,"OH","Cuyahoga"
"40",2006,"Air Force",2,"TX","Hays"
"41",2006,"Air Force",2,"FL","Volusia"
"42",2006,"Air Force",2,"GA","Fulton"
"43",2006,"Air Force",2,"CO","Arapahoe"
"44",2006,"Air Force",2,"OK","Comanche"
"45",2006,"Air Force",2,"CO","Arapahoe"
"46",2006,"Air Force",2,"CO","Arapahoe"
"47",2006,"Air Force",2,"SC","Greenwood"
"48",2006,"Air Force",2,"OH","Greene"
"49",2007,"Air Force",2,"TX","Harris"
"50",2007,"Air Force",2,"TX","Brazos"
"51",2007,"Air Force",2,"TX","Travis"
"52",2007,"Air Force",2,"OR","Multnomah"
"53",2007,"Air Force",2,"TX","Kaufman"
"54",2007,"Air Force",2,"MD","Montgomery"
"55",2007,"Air Force",2,"AZ","Maricopa"
"56",2007,"Air Force",1,"OR","Multnomah"
"57",2008,"Air Force",2,"WA","King"
"58",2008,"Air Force",2,"FL","Orange"
"59",2008,"Air Force",2,"NV","Clark"
"60",2008,"Air Force",2,"FL","Orange"
"61",2009,"Air Force",3,"KS","Johnson"
"62",2009,"Air Force",3,"GA","Cherokee"
"63",2009,"Air Force",3,"TX","Wichita"
"64",2009,"Air Force",2,"IL","Will"
"65",2009,"Air Force",2,"OK","Cleveland"
"66",2009,"Air Force",2,"KS","Harvey"
"67",2009,"Air Force",2,"GA","Cobb"
"68",2009,"Air Force",2,"CA","Los Angeles"
"69",2009,"Air Force",2,"OH","Cuyahoga"
"70",2009,"Air Force",2,"TX","Harris"
"71",2009,"Air Force",2,"GA","Gwinnett"
"72",2009,"Air Force",2,"GA","Gwinnett"
"73",2009,"Air Force",2,"TX","Williamson"
"74",2009,"Air Force",2,"IN","Hamilton"
"75",2009,"Air Force",2,"AZ","Mohave"
"76",2009,"Air Force",2,"TX","Williamson"
"77",2009,"Air Force",2,"SC","Greenville"
"78",2009,"Air Force",2,"MN","Carver"
"79",2009,"Air Force",2,"TX","Tarrant"
"80",2010,"Air Force",3,"AZ","Pima"
"81",2012,"Air Force",3,"FL","Duval"
"82",2012,"Air Force",3,"TX","Brazoria"
"83",2012,"Air Force",3,"TX","Travis"
"84",2012,"Air Force",3,"OK","Cleveland"
"85",2012,"Air Force",3,"AZ","Maricopa"
"86",2012,"Air Force",3,"TX","Dallas"
"87",2012,"Air Force",3,"GA","Gordon"
"88",2012,"Air Force",3,"NC","Catawba"
"89",2012,"Air Force",2,"GA","Paulding"
"90",2012,"Air Force",2,"CA","Sacramento"
"91",2012,"Air Force",2,"OR","Marion"
"92",2012,"Air Force",2,"IL","Cook"
"93",2012,"Air Force",2,"OH","Lake"
"94",2012,"Air Force",2,"IN","Hamilton"
"95",2012,"Air Force",2,"TX","Bexar"
"96",2012,"Air Force",2,"GA","DeKalb"
"97",2012,"Air Force",2,"TX","Harris"
"98",2012,"Air Force",2,"TX","Jefferson"
"99",2012,"Air Force",2,"CO","Douglas"
"100",2012,"Air Force",2,"TX","Smith"
"101",2012,"Air Force",2,"FL","Miami-Dade"
"102",2012,"Air Force",2,"TX","Tarrant"
"103",2012,"Air Force",2,"GA","Gwinnett"
"104",2012,"Air Force",2,"WA","Clallam"
"105",2012,"Air Force",2,"IL","Grundy"
"106",2012,"Air Force",2,"TX","Brazoria"
"107",2012,"Air Force",2,"CA","Sacramento"
"108",2012,"Air Force",2,"OH","Franklin"
"109",2012,"Air Force",2,"TX","Harris"
"110",2012,"Air Force",2,"CA","Orange"
"111",2012,"Air Force",2,"GA","Gwinnett"
"112",2012,"Air Force",2,"OK","Oklahoma"
"113",2012,"Air Force",1,"IN","Marion"
"114",2012,"Air Force",1,"KY","Jefferson"
"115",2013,"Air Force",3,"TX","Rusk"
"116",2013,"Air Force",3,"MI","Livingston"
"117",2013,"Air Force",3,"LA","Caddo"
"118",2013,"Air Force",2,"OH","Cuyahoga"
"119",2013,"Air Force",2,"GA","Gwinnett"
"120",2013,"Air Force",2,"MI","Washtenaw"
"121",2013,"Air Force",2,"TX","Tarrant"
"122",2013,"Air Force",2,"AZ","Pima"
"123",2013,"Air Force",2,"SC","York"
"124",2013,"Air Force",2,"OH","Cuyahoga"
"125",2013,"Air Force",2,"FL","Broward"
"126",2013,"Air Force",2,"GA","Coweta"
"127",2013,"Air Force",2,"LA","Caddo"
"128",2013,"Air Force",2,"CA","Fresno"
"129",2013,"Air Force",2,"NC","Richmond"
"130",2013,"Air Force",2,"CA","San Bernardino"
"131",2013,"Air Force",2,"TX","Harris"
"132",2013,"Air Force",2,"OK","Bryan"
"133",2013,"Air Force",2,"TX","Collin"
"134",2013,"Air Force",2,"OH","Franklin"
"135",2013,"Air Force",2,"OH","Stark"
"136",2013,"Air Force",2,"GA","Gwinnett"
"137",2013,"Air Force",2,"CA","San Bernardino"
"138",2013,"Air Force",2,"MN","Olmsted"
"139",2013,"Air Force",2,"CO","Denver"
"140",2013,"Air Force",2,"TX","Gregg"
"141",2013,"Air Force",2,"GA","Bryan"
"142",2013,"Air Force",2,"KS","Ford"
"143",2013,"Air Force",2,"TX","Somervell"
"144",2013,"Air Force",2,"TX","Collin"
"145",2013,"Air Force",2,"NC","Wake"
"146",2013,"Air Force",2,"IN","Marion"
"147",2013,"Air Force",2,"TX","Dallas"
"148",2013,"Air Force",2,"TN","Madison"
"149",2014,"Air Force",3,"WA","King"
"150",2014,"Air Force",3,"CA","Los Angeles"
"151",2014,"Air Force",3,"FL","Broward"
"152",2014,"Air Force",2,"AZ","Maricopa"
"153",2014,"Air Force",2,"KS","Sedgwick"
"154",2014,"Air Force",2,"FL","Duval"
"155",2014,"Air Force",2,"GA","Cherokee"
"156",2014,"Air Force",2,"CA","San Diego"
"157",2014,"Air Force",2,"GA","Floyd"
"158",2014,"Air Force",2,"AZ","Maricopa"
"159",2014,"Air Force",2,"OR","Clackamas"
"160",2014,"Air Force",2,"GA","DeKalb"
"161",2014,"Air Force",2,"GA","Hall"
"162",2014,"Air Force",2,"FL","Clay"
"163",2014,"Air Force",2,"FL","Hillsborough"
"164",2014,"Air Force",2,"AL","Madison"
"165",2014,"Air Force",2,"CA","El Dorado"
"166",2014,"Air Force",2,"FL","Clay"
"167",2014,"Air Force",2,"AZ","Maricopa"
"168",2014,"Air Force",2,"GA","Cobb"
"169",2014,"Air Force",2,"OR","Jackson"
"170",2014,"Air Force",2,"GA","Forsyth"
"171",2015,"Air Force",3,"MI","Wayne"
"172",2015,"Air Force",2,"OK","Tulsa"
"173",2015,"Air Force",2,"CO","Arapahoe"
"174",2015,"Air Force",2,"AZ","Maricopa"
"175",2015,"Air Force",2,"TN","Blount"
"176",2015,"Air Force",2,"GA","Cherokee"
"177",2015,"Air Force",2,"TN","Blount"
"178",2015,"Air Force",2,"UT","Salt Lake"
"179",2015,"Air Force",2,"TX","Tarrant"
"180",2015,"Air Force",2,"TN","Williamson"
"181",2015,"Air Force",2,"AZ","Maricopa"
"182",2015,"Air Force",2,"TX","Dallas"
"183",2015,"Air Force",2,"MI","Ingham"
"184",2015,"Air Force",2,"TX","Brazos"
"185",2015,"Air Force",2,"MN","Dakota"
"186",2015,"Air Force",2,"CO","El Paso"
"187",2015,"Air Force",2,"TX","Harris"
"188",2015,"Air Force",2,"FL","Broward"
"189",2015,"Air Force",2,"TX","Travis"
"190",2015,"Air Force",2,"TN","Knox"
"191",2016,"Air Force",3,"GA","Cherokee"
"192",2016,"Air Force",3,"UT","Salt Lake"
"193",2016,"Air Force",3,"WA","Benton"
"194",2016,"Air Force",2,"TX","Dallas"
"195",2016,"Air Force",2,"GA","Gwinnett"
"196",2016,"Air Force",2,"UT","Salt Lake"
"197",2016,"Air Force",2,"TN","Hamilton"
"198",2016,"Air Force",2,"AZ","Maricopa"
"199",2016,"Air Force",2,"FL","Miami-Dade"
"200",2016,"Air Force",2,"AZ","Pima"
"201",2016,"Air Force",2,"TX","Tarrant"
"202",2016,"Air Force",2,"GA","Douglas"
"203",2016,"Air Force",2,"TX","Bexar"
"204",2016,"Air Force",2,"FL","Duval"
"205",2016,"Air Force",2,"GA","Newton"
"206",2016,"Air Force",2,"KS","Douglas"
"207",2016,"Air Force",2,"TX","Harris"
"208",2016,"Air Force",2,"TX","Denton"
"209",2016,"Air Force",2,"CA","Riverside"
"210",2016,"Air Force",2,"CA","San Bernardino"
"211",2016,"Air Force",2,"CA","Sacramento"
"212",2016,"Air Force",2,"IN","Bartholomew"
"213",2016,"Air Force",2,"NE","Douglas"
"214",2016,"Air Force",2,"TX","Tarrant"
"215",2016,"Air Force",2,"AR","Sebastian"
"216",2016,"Air Force",2,"MI","Kent"
"217",2016,"Air Force",2,"TX","Harris"
"218",2016,"Air Force",2,"TN","Knox"
"219",2016,"Air Force",2,"TX","Harris"
"220",2016,"Air Force",2,"IN","Hamilton"
"221",2016,"Air Force",2,"IN","Hamilton"
"222",2016,"Air Force",2,"AL","Madison"
"223",2017,"Air Force",3,"KS","Harvey"
"224",2017,"Air Force",3,"TN","Blount"
"225",2017,"Air Force",3,"CA","San Diego"
"226",2017,"Air Force",3,"NM","Bernalillo"
"227",2017,"Air Force",3,"CA","Los Angeles"
"228",2017,"Air Force",3,"AZ","Maricopa"
"229",2017,"Air Force",2,"TX","Dallas"
"230",2017,"Air Force",2,"TX","Rusk"
"231",2017,"Air Force",2,"MS","Jackson"
"232",2017,"Air Force",2,"MI","Wayne"
"233",2017,"Air Force",2,"MO","Boone"
"234",2017,"Air Force",2,"TX","Montgomery"
"235",2017,"Air Force",2,"TN","Shelby"
"236",2017,"Air Force",2,"MD","Prince George's"
"237",2017,"Air Force",2,"AZ","Maricopa"
"238",2017,"Air Force",2,"IL","Cook"
"239",2017,"Air Force",2,"NV","Washoe"
"240",2017,"Air Force",2,"WA","Kitsap"
"241",2017,"Air Force",2,"OH","Franklin"
"242",2017,"Air Force",2,"AZ","Maricopa"
"243",2017,"Air Force",2,"MI","Macomb"
"244",2017,"Air Force",2,"KS","Harvey"
"245",2017,"Air Force",2,"CA","Los Angeles"
"246",2017,"Air Force",2,"AZ","Maricopa"
"247",2017,"Air Force",2,"WI","Waukesha"
"248",2017,"Air Force",2,"FL","Volusia"
"249",2017,"Air Force",2,"AZ","Maricopa"
"250",2017,"Air Force",2,"TX","Hays"
"251",2017,"Air Force",2,"MI","Isabella"
"252",2017,"Air Force",2,"FL","Hillsborough"
"253",2017,"Air Force",2,"UT","Summit"
"254",2017,"Air Force",2,"CA","Los Angeles"
"255",2017,"Air Force",2,"TX","Bexar"
"256",2017,"Air Force",2,"TX","Orange"
"257",2017,"Air Force",2,"UT","Salt Lake"
"258",2017,"Air Force",2,"UT","Utah"
"259",2017,"Air Force",2,"CO","Adams"
"260",2017,"Air Force",2,"IN","Johnson"
"261",2017,"Air Force",2,"TX","Dallas"
"262",2017,"Air Force",2,"WA","King"
"263",2017,"Air Force",2,"TX","Harris"
"264",2017,"Air Force",2,"AZ","Maricopa"
"265",2017,"Air Force",2,"AL","Mobile"
"266",2017,"Air Force",2,"FL","Palm Beach"
"267",2017,"Air Force",2,"CA","San Diego"
"268",2017,"Air Force",2,"TX","Parker"
"269",2017,"Air Force",2,"TX","Parker"
"270",2017,"Air Force",2,"TX","Tarrant"
"271",2017,"Air Force",2,"NE","Douglas"
"272",2017,"Air Force",2,"OH","Montgomery"
"273",2017,"Air Force",2,"OH","Hamilton"
"274",2017,"Air Force",2,"MD","Anne Arundel"
"275",2017,"Air Force",2,"IN","Allen"
"276",2017,"Air Force",2,"TX","Rockwall"
