"","committed_to","state_province","count","tot","share","rank","end_year","start_year"
"1","Texas","TX",89,114,0.780701754385965,1,2020,2015
"2","Florida International","FL",86,99,0.868686868686869,1,2020,2015
"3","San José State","CA",86,93,0.924731182795699,1,2020,2015
"4","Texas A&M","TX",83,125,0.664,1,2020,2015
"5","South Florida","FL",77,88,0.875,1,2020,2015
"6","Baylor","TX",75,102,0.735294117647059,1,2020,2015
"7","Miami","FL",75,106,0.707547169811321,1,2020,2015
"8","UCLA","CA",75,121,0.619834710743802,1,2020,2015
"9","SMU","TX",74,84,0.880952380952381,1,2020,2015
"10","Texas State","TX",74,87,0.850574712643678,1,2020,2015
"11","Florida","FL",71,112,0.633928571428571,1,2020,2015
"12","North Texas","TX",71,87,0.816091954022989,1,2020,2015
"13","Texas Tech","TX",71,83,0.855421686746988,1,2020,2015
"14","Rice","TX",70,99,0.707070707070707,1,2020,2015
"15","UTEP","TX",68,92,0.739130434782609,1,2020,2015
"16","Florida Atlantic","FL",66,89,0.741573033707865,1,2020,2015
"17","Fresno State","CA",66,84,0.785714285714286,1,2020,2015
"18","Georgia","GA",66,121,0.545454545454545,1,2020,2015
"19","Georgia Southern","GA",66,112,0.589285714285714,1,2020,2015
"20","Houston","TX",65,74,0.878378378378378,1,2020,2015
"21","UCF","FL",65,93,0.698924731182796,1,2020,2015
"22","UT San Antonio","TX",61,77,0.792207792207792,1,2020,2015
"23","USC","CA",60,102,0.588235294117647,1,2020,2015
"24","California","CA",59,100,0.59,1,2020,2015
"25","Georgia Tech","GA",59,109,0.541284403669725,1,2020,2015
"26","LSU","LA",59,120,0.491666666666667,1,2020,2015
"27","Nevada","CA",59,101,0.584158415841584,1,2020,2015
"28","TCU","TX",59,92,0.641304347826087,1,2020,2015
"29","Florida State","FL",58,112,0.517857142857143,1,2020,2015
"30","Tulsa","TX",57,88,0.647727272727273,1,2020,2015
"31","San Diego State","CA",56,99,0.565656565656566,1,2020,2015
"32","East Carolina","NC",54,100,0.54,1,2020,2015
"33","Rutgers","NJ",54,101,0.534653465346535,1,2020,2015
"34","BYU","UT",53,119,0.445378151260504,1,2020,2015
"35","Louisiana","LA",50,89,0.561797752808989,1,2020,2015
"36","Mississippi State","MS",50,94,0.531914893617021,1,2020,2015
"37","NC State","NC",50,107,0.467289719626168,1,2020,2015
"38","Stephen F. Austin","TX",48,53,0.905660377358491,1,2020,2015
"39","Air Force","TX",47,210,0.223809523809524,1,2020,2015
"40","Boise State","CA",47,99,0.474747474747475,1,2020,2015
"41","Eastern Washington","WA",47,70,0.671428571428571,1,2020,2015
"42","Washington State","CA",47,120,0.391666666666667,1,2020,2015
"43","Central Michigan","MI",46,99,0.464646464646465,1,2020,2015
"44","Northern Illinois","IL",46,106,0.433962264150943,1,2020,2015
"45","Oregon","CA",46,111,0.414414414414414,1,2020,2015
"46","Troy","AL",46,84,0.547619047619048,1,2020,2015
"47","Cincinnati","OH",45,101,0.445544554455446,1,2020,2015
"48","Louisiana Tech","LA",44,82,0.536585365853659,1,2020,2015
"49","Oklahoma State","TX",43,95,0.452631578947368,1,2020,2015
"50","Bowling Green","OH",42,106,0.39622641509434,1,2020,2015
"51","Oklahoma","TX",42,107,0.392523364485981,1,2020,2015
"52","Western Michigan","MI",42,111,0.378378378378378,1,2020,2015
