school,prim_color,sec_color,text_color,state_province
Air Force,#003087,#8A8D8F,#8A8D8F,CO
Akron,#041E42,#A89968,#A89968,OH
Alabama,#9E1B32,#828A8F,#FFFFFF,AL
Appalachian State,#222222,#FFCC00,#FFCC00,NC
Arizona,#CC0033,#003366,#FFFFFF,AZ
Arizona State,#8C1D40,#FFC627,#FFC627,AZ
Arkansas,#9D2235,#FFFFFF,#FFFFFF,AR
Arkansas State,#CC092F,#000000,#000000,AR
Army,#000000,#D4BF91,#D4BF91,NY
Auburn,#0C2340,#E87722,#E87722,AL
Ball State,#BA0C2F,#FFFFFF,#FFFFFF,IN
Baylor,#003015,#FECB00,#FECB00,TX
Boise State,#D64309,#0033A0,#FFFFFF,ID
Boston College,#98002E,#BC9B6A,#BC9B6A,MA
Bowling Green,#FE5000,#4F2C1D,#4F2C1D,KY
Buffalo,#005BBB,#FFFFFF,#FFFFFF,NY
BYU,#002E5D,#FFFFFF,#FFFFFF,UT
California,#003262,#FDB515,#FDB515,CA
Central Michigan,#6A0032,#FFC82E,#FFC82E,MI
Charlotte,#046A38,#B9975B,#B9975B,NC
Cincinnati,#E00122,#000000,#000000,OH
Clemson,#F56600,#522D80,#522D80,SC
Coastal Carolina,#006F71,#A27752,#FFFFFF,SC
Colorado,#CFB87C,#565A5C,#565A5C,CO
Colorado State,#1E4D2B,#C8C372,#C8C372,CO
Duke,#003087,#FFFFFF,#FFFFFF,NC
East Carolina,#592A8A,#FDC82F,#FDC82F,NC
Eastern Michigan,#006633,#FFFFFF,#FFFFFF,MI
Florida International,#081E3F,#B6862C,#B6862C,FL
Florida,#0021A5,#FA4616,#FA4616,FL
Florida Atlantic,#003366,#CC0000,#FFFFFF,FL
Florida State,#782F40,#CEB888,#CEB888,FL
Fresno State,#DB0032,#002E6D,#FFFFFF,CA
Georgia,#BA0C2F,#FFFFFF,#FFFFFF,GA
Georgia Southern,#011E41,#A3AAAE,#A3AAAE,GA
Georgia State,#0039A6,#C60C30,#FFFFFF,GA
Georgia Tech,#B3A369,#003057,#003057,GA
Hawai'i,#024731,#C8C8C8,#C8C8C8,HI
Houston,#C8102E,#B2B4B2,#B2B4B2,TX
Illinois,#13294B,#E84A27,#E84A27,IL
Indiana,#990000,#EEEDEB,#EEEDEB,IN
Iowa,#FFCD00,#000000,#000000,IA
Iowa State,#C8102E,#F1BE48,#F1BE48,IA
Kansas,#0051BA,#E8000D,#FFFFFF,KS
Kansas State,#512888,#FFFFFF,#FFFFFF,KS
Kent State,#002664,#EAAB00,#EAAB00,OH
Kentucky,#0033A0,#FFFFFF,#FFFFFF,KY
Liberty,#002D62,#C41230,#FFFFFF,VA
Louisiana,#CE181E,#C1C5C9,#C1C5C9,LA
Louisiana Monroe,#800029,#BD955A,#BD955A,LA
Louisiana Tech,#002F8B,#E31B23,#FFFFFF,LA
Louisville,#AD0000,#FDB913,#FDB913,KY
LSU,#461D7C,#FDD023,#FDD023,LA
Marshall,#00B140,#A2AAAD,#FFFFFF,WV
Maryland,#E03A3E,#FFD520,#FFD520,MD
Memphis,#003087,#898D8D,#FFFFFF,TN
Miami,#F47321,#005030,#005030,FL
Miami (OH),#B61E2E,#FFFFFF,#FFFFFF,OH
Michigan,#00274C,#FFCB05,#FFCB05,MI
Michigan State,#18453B,#FFFFFF,#FFFFFF,MI
Middle Tennessee,#0066CC,#69B3E7,#FFFFFF,TN
Minnesota,#7A0019,#FFCC33,#FFCC33,MN
Mississippi State,#660000,#FFFFFF,#FFFFFF,MS
Missouri,#F1B82D,#000000,#000000,MO
Navy,#00205B,#C5B783,#C5B783,MD
NC State,#CC0000,#FFFFFF,#FFFFFF,NC
Nebraska,#E41C38,#FFFFFF,#FFFFFF,NE
